"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"51"	1	60	40	13.2473561849606	0.655	1000
"52"	1	60	45	12.8127485999114	0.65	1000
"53"	1	60	50	11.578149847347	0.682	1000
"54"	1	60	55	11.6827466456966	0.682	1000
"55"	1	60	60	10.6601939879912	0.701	1000
"56"	1	60	65	10.5441968897295	0.701	1000
"57"	1	60	70	9.72767713197037	0.725	1000
"58"	1	60	75	9.83264771168203	0.707	1000
"59"	1	60	80	9.01872777236686	0.715	1000
"60"	1	60	85	9.1879524893558	0.736	1000
"61"	1	60	90	8.89578154080391	0.716	1000
"62"	1	60	95	8.54608349460663	0.755	1000
"63"	1	60	100	8.26897994973454	0.737	1000
"64"	2	5	0	5	0.345	1000
"65"	2	5	5	4.05584291415576	0.853	1000
"66"	2	5	10	2.75618953262551	0.957	1000
"67"	2	5	15	2.13047310346684	0.995	1000
"68"	2	5	20	1.83865986900784	1	1000
"69"	2	5	25	1.65454295973682	0.999	1000
"70"	2	5	30	1.48933837170457	1	1000
"71"	2	5	35	1.37937873709964	1	1000
"72"	2	5	40	1.24684951599312	1	1000
"73"	2	5	45	1.20863756906758	1	1000
"74"	2	5	50	1.13188533420058	1	1000
"75"	2	5	55	1.09534934541583	1	1000
"76"	2	5	60	1.02584755059591	1	1000
"77"	2	5	65	0.991861564356712	1	1000
"78"	2	5	70	0.976517194459177	1	1000
"79"	2	5	75	0.913683116359876	1	1000
"80"	2	5	80	0.904879709718285	1	1000
"81"	2	5	85	0.875238229988754	1	1000
"82"	2	5	90	0.852943263302137	1	1000
"83"	2	5	95	0.815200368217933	1	1000
"84"	2	5	100	0.796471080070116	1	1000
"85"	2	10	0	5	0.343	1000
"86"	2	10	5	7.9325942075703	0.613	1000
"87"	2	10	10	5.6076828326514	0.736	1000
"88"	2	10	15	4.33943307527914	0.832	1000
"89"	2	10	20	3.64963680545358	0.885	1000
"90"	2	10	25	3.37435228134005	0.905	1000
"91"	2	10	30	3.03706382071978	0.945	1000
"92"	2	10	35	2.73365076947148	0.969	1000
"93"	2	10	40	2.49561623815835	0.987	1000
"94"	2	10	45	2.38678446404189	0.982	1000
"95"	2	10	50	2.35306074434215	0.985	1000
"96"	2	10	55	2.20474938875416	0.989	1000
"97"	2	10	60	2.08244264740963	0.993	1000
"98"	2	10	65	1.95453420938181	0.996	1000
"99"	2	10	70	1.89241792100764	0.995	1000
"100"	2	10	75	1.8240131512185	0.997	1000
"101"	2	10	80	1.81636883361341	0.998	1000
"102"	2	10	85	1.73073273499533	1	1000
"103"	2	10	90	1.64814330961185	1	1000
"104"	2	10	95	1.63610412128659	1	1000
"105"	2	10	100	1.57125617594805	0.998	1000
"106"	2	60	0	5	0.349	1000
"107"	2	60	5	47.833441609847	0.377	1000
"108"	2	60	10	33.1219212607333	0.382	1000
"109"	2	60	15	25.0850370851088	0.428	1000
"110"	2	60	20	22.2314528394403	0.446	1000
"111"	2	60	25	20.0923703015471	0.456	1000
"112"	2	60	30	17.9418284158006	0.412	1000
"113"	2	60	35	16.4224928808668	0.488	1000
"114"	2	60	40	15.0822899780721	0.49	1000
"115"	2	60	45	14.3290484463987	0.518	1000
"116"	2	60	50	13.4150876793231	0.511	1000
"117"	2	60	55	13.1618713647045	0.508	1000
"118"	2	60	60	12.4234614460775	0.542	1000
"119"	2	60	65	11.8150531414582	0.513	1000
"120"	2	60	70	11.4681085746216	0.526	1000
"121"	2	60	75	11.2859251662799	0.556	1000
"122"	2	60	80	10.885628671303	0.57	1000
"123"	2	60	85	10.294404824398	0.561	1000
"124"	2	60	90	9.88132013053003	0.58	1000
"125"	2	60	95	9.76934111890428	0.57	1000
"126"	2	60	100	9.96589529050756	0.585	1000
"127"	3	5	0	5	0.233	1000
"128"	3	5	5	3.966290348224	0.828	1000
"129"	3	5	10	3.39459982979836	0.867	1000
"130"	3	5	15	2.59821366870744	0.958	1000
"131"	3	5	20	2.12574774379229	0.986	1000
"132"	3	5	25	1.89535925715845	1	1000
"133"	3	5	30	1.67411759057116	1	1000
"134"	3	5	35	1.57527308806616	1	1000
"135"	3	5	40	1.42734125654525	1	1000
"136"	3	5	45	1.32454847236645	1	1000
"137"	3	5	50	1.29378552282697	1	1000
"138"	3	5	55	1.23519189158401	1	1000
"139"	3	5	60	1.18990665060195	1	1000
"140"	3	5	65	1.13830367763362	1	1000
