"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"total.points.median"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"
"40"	1	15	90	45.7804973816421	45.3227778011355	2.08801283770941	2.15269001599909	0.9964
"41"	1	15	95	22.8370072958327	23.3466319542187	2.10398459956008	2.13253605997581	0.996
"42"	1	15	100	0	0	2.07112557681763	2.06886321678449	0.9976
"43"	1	60	0	190.782903946472	198.23839378983	13.5335369790428	NA	NA
"44"	1	60	5	203.253974708494	193.642748627279	12.7929830163602	41.3246793352631	0.5618
"45"	1	60	10	213.063943992154	194.354602040687	11.7536392244067	24.2973452571774	0.5862
"46"	1	60	15	233.650764258856	230.288634971753	11.077855046617	19.2948890667075	0.6186
"47"	1	60	20	237.099790778378	233.07886198725	10.6406138405728	16.5604444400974	0.6302
"48"	1	60	25	218.472927764727	217.028720655258	10.1206090625804	14.7101159954644	0.658
"49"	1	60	30	214.739232892554	207.255217993686	9.67570848861265	13.6151207899245	0.6534
"50"	1	60	35	196.377000217577	192.938792311887	9.4472967526794	12.6175790674651	0.6648
"51"	1	60	40	195.884877002535	196.263038908619	9.09302600700195	11.7729357369738	0.6852
"52"	1	60	45	184.63946747957	176.695802056815	8.93967725547759	11.2896920324902	0.6964
"53"	1	60	50	164.741102985103	165.757971884552	9.02018803469708	10.8289085386551	0.6986
"54"	1	60	55	146.350277579178	146.798278786011	8.79089784155388	10.3394158917728	0.7236
"55"	1	60	60	141.63389248009	147.789582754909	8.6212440168573	10.0615581799265	0.709
"56"	1	60	65	118.89332676678	122.728106799894	8.65648740672968	9.87306181883906	0.708
"57"	1	60	70	104.115457592963	108.939949512849	8.51582897149575	9.41348987057526	0.729
"58"	1	60	75	85.3617714390307	83.5335661646916	8.56504947116754	9.31285078261655	0.719
"59"	1	60	80	69.9619617048957	67.9841864188114	8.33523791758648	8.91365190147791	0.7366
"60"	1	60	85	54.000216838244	53.1102452217396	8.40167325023448	8.80613821552248	0.7312
"61"	1	60	90	37.3584868453927	36.1234025990615	8.45124531537576	8.68034423713206	0.737
"62"	1	60	95	16.596943838556	15.9737084626206	8.34818015070584	8.44687980739264	0.738
"63"	1	60	100	0	0	8.3121969970473	8.27744633354925	0.753
"64"	2	5	0	424.58165272485	431.554550139311	2.10762084191941	NA	NA
"65"	2	5	5	417.288698645872	422.21203708422	1.84651534650471	4.02597685997988	0.8666
"66"	2	5	10	403.181727185172	402.54129358	1.49236150335972	2.67728753873247	0.9672
"67"	2	5	15	382.119076464234	382.96578263654	1.32012336152369	2.02823472647631	0.9946
"68"	2	5	20	359.739777693967	359.228024075607	1.2103678269982	1.7296222690173	0.9988
"69"	2	5	25	337.626239907594	337.859004405911	1.09831763183193	1.49190233569892	0.9994
"70"	2	5	30	314.608564145612	314.756059718404	1.0581046369041	1.37265938021576	0.9998
"71"	2	5	35	291.266904841059	291.9008750577	1.00419697943886	1.27287475457648	1
