"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"102"	2	5	85	0.872652135455666	1	5000
"103"	2	5	90	0.851938332624349	1	5000
"104"	2	5	95	0.822446228338373	1	5000
"105"	2	5	100	0.808754076042343	1	5000
"106"	2	10	0	5	0.3222	5000
"107"	2	10	5	7.99032983500544	0.64	5000
"108"	2	10	10	5.56137563862126	0.757	5000
"109"	2	10	15	4.35782533462279	0.8374	5000
"110"	2	10	20	3.7028862876912	0.8804	5000
"111"	2	10	25	3.2896674864751	0.9228	5000
"112"	2	10	30	2.96360551395255	0.9506	5000
"113"	2	10	35	2.71876177907091	0.962	5000
"114"	2	10	40	2.55575055391739	0.9706	5000
"115"	2	10	45	2.42059733877225	0.9804	5000
"116"	2	10	50	2.27835979802801	0.9842	5000
"117"	2	10	55	2.19466889631259	0.9906	5000
"118"	2	10	60	2.09193579032904	0.9906	5000
"119"	2	10	65	1.99315834046416	0.9942	5000
"120"	2	10	70	1.92244732011221	0.9958	5000
"121"	2	10	75	1.85092197752726	0.9968	5000
"122"	2	10	80	1.80368053357585	0.9982	5000
"123"	2	10	85	1.7398938846981	0.9986	5000
"124"	2	10	90	1.69988381579858	1	5000
"125"	2	10	95	1.62866674319234	0.9998	5000
"126"	2	10	100	1.62400360150262	0.9994	5000
"127"	2	20	0	5	0.3462	5000
"128"	2	20	5	15.9032948236721	0.479	5000
"129"	2	20	10	11.262304180438	0.553	5000
"130"	2	20	15	8.61737220252426	0.617	5000
"131"	2	20	20	7.33992986838066	0.6492	5000
"132"	2	20	25	6.60581950293086	0.6828	5000
"133"	2	20	30	5.96526984394045	0.723	5000
"134"	2	20	35	5.4110215505296	0.7692	5000
"135"	2	20	40	5.11751531619375	0.7766	5000
"136"	2	20	45	4.87383016720849	0.7996	5000
"137"	2	20	50	4.58697210727112	0.8188	5000
"138"	2	20	55	4.34876582928168	0.8432	5000
"139"	2	20	60	4.18969740951307	0.8482	5000
"140"	2	20	65	3.99095338148723	0.8608	5000
"141"	2	20	70	3.89318532898611	0.8696	5000
"142"	2	20	75	3.75169491555997	0.8784	5000
"143"	2	20	80	3.58041588967636	0.9	5000
"144"	2	20	85	3.48478107719304	0.9126	5000
"145"	2	20	90	3.38387564719209	0.9178	5000
"146"	2	20	95	3.28346394815046	0.9242	5000
"147"	2	20	100	3.20562494254969	0.9348	5000
"148"	2	30	0	5	0.3366	5000
"149"	2	30	5	23.8408368214601	0.439	5000
"150"	2	30	10	16.7756813352707	0.4758	5000
"151"	2	30	15	12.9276388291133	0.5094	5000
"152"	2	30	20	11.0762822600712	0.5438	5000
"153"	2	30	25	9.95260029945544	0.5772	5000
"154"	2	30	30	9.02743655793666	0.6038	5000
