"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"72"	9	"peek"	"hard"	"stable"	-28.1219512195122	-14	0.560975609756098	22.9756097560976	23	0.75609756097561	0.365853658536585
"73"	10	"keep"	"easy"	"dynamic"	-4.88372093023256	-3	1	0.697674418604651	-4	0.767441860465116	0
"74"	10	"keep"	"easy"	"stable"	-2.42857142857143	-5.5	1	2.88095238095238	3	0.761904761904762	0
"75"	10	"keep"	"hard"	"dynamic"	-83.8518518518518	-93	1	-18.6296296296296	-32	0.407407407407407	0
"76"	10	"keep"	"hard"	"stable"	-80.2631578947368	-93.5	1	-12.6052631578947	7	0.342105263157895	0
"77"	10	"peek"	"easy"	"dynamic"	7.89189189189189	8	0.675675675675676	2.35135135135135	3	0.756756756756757	0.324324324324324
"78"	10	"peek"	"easy"	"stable"	-5.92105263157895	-7.5	0.447368421052632	3.31578947368421	3	0.684210526315789	0.368421052631579
"79"	10	"peek"	"hard"	"dynamic"	-20.3947368421053	-19.5	0.631578947368421	-13.7894736842105	7	0.473684210526316	0.394736842105263
"80"	10	"peek"	"hard"	"stable"	-36.5609756097561	-26	0.731707317073171	-14.5609756097561	7	0.414634146341463	0.463414634146341
"81"	11	"keep"	"easy"	"dynamic"	1.34883720930233	1	1	6.23255813953488	14	0.627906976744186	0
"82"	11	"keep"	"easy"	"stable"	7.40476190476191	3	1	9.83333333333333	14	0.476190476190476	0
"83"	11	"keep"	"hard"	"dynamic"	-72	-82	1	6.3448275862069	18	0.620689655172414	0
"84"	11	"keep"	"hard"	"stable"	-73.2631578947368	-83	1	7	18	0.578947368421053	0
"85"	11	"peek"	"easy"	"dynamic"	11.6486486486486	10	0.675675675675676	5.72972972972973	14	0.648648648648649	0.324324324324324
"86"	11	"peek"	"easy"	"stable"	-1.10526315789474	-3	0.631578947368421	9.05263157894737	14	0.5	0.394736842105263
