"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"108"	"A2GIJ8E45BSAI"	"keep"	"easy"	"stable"	0	0	676	1687	"male"	25	42	31	23	187	489
"109"	"A2GIYD0TEI3V62"	"peek"	"easy"	"dynamic"	117	0.585	28	731	"female"	20	74	34	NA	20	8
"110"	"A2H9YNTDHIHS1U"	"peek"	"hard"	"stable"	92	0.46	-368	478	"male"	26	72	34	21	-247	-121
"111"	"A2HV9CYJH2IQYE"	"keep"	"hard"	"stable"	0	0	131	1183	"female"	30	68	16	25	-244	375
"112"	"A2J237J8KM3OCS"	"keep"	"hard"	"dynamic"	0	0	733	1147	"male"	34	59	31	25	144	589
"113"	"A2JG1NAFYN2PMJ"	"keep"	"easy"	"dynamic"	0	0	178	1746	"female"	41	47	22	14	206	-28
"114"	"A2JP5VBC549DHF"	"keep"	"hard"	"dynamic"	0	0	432	850	"female"	28	74	29	24	132	300
"115"	"A2KA1H6AA3Y80G"	"keep"	"hard"	"stable"	0	0	399	802	"male"	31	50	33	27	-89	488
"116"	"A2KH7SE6NBL2WQ"	"keep"	"easy"	"stable"	0	0	347	650	"female"	30	NA	22	29	228	119
"117"	"A2LQIMNL9U9KN7"	"keep"	"easy"	"dynamic"	0	0	113	1572	"female"	51	54	15	20	112	1
"118"	"A2MG1LLIKMGAMX"	"peek"	"easy"	"stable"	30	0.15	873	637	"female"	42	NA	20	20	370	503
"119"	"A2MH8TOELFTCES"	"peek"	"easy"	"dynamic"	101	0.505	113	730	"male"	22	60	31	22	85	28
"120"	"A2MUR0MDDWK4TY"	"peek"	"easy"	"dynamic"	19	0.095	390	1288	"male"	23	72	NA	28	384	6
"121"	"A2NDA88F1EZWEH"	"keep"	"easy"	"stable"	0	0	591	760	"male"	35	NA	32	23	309	282
"122"	"A2O040KR3U0LY2"	"peek"	"hard"	"stable"	59	0.295	552	549	"female"	55	47	20	14	415	137
"123"	"A2O46K86L79OJ7"	"peek"	"hard"	"stable"	64	0.32	-182	761	"female"	44	47	31	22	36	-218
"124"	"A2OSXVGQUR6IL6"	"keep"	"hard"	"stable"	0	0	-55	552	"male"	41	NA	33	26	174	-229
"125"	"A2P6VK1US8OTC5"	"peek"	"easy"	"dynamic"	41	0.205	102	688	"male"	45	49	18	5	280	-178
"126"	"A2P76QVLSGJR45"	"peek"	"hard"	"stable"	20	0.1	343	732	"female"	36	57	19	19	409	-66
"127"	"A2PAP6WAU1OLNH"	"keep"	"hard"	"dynamic"	0	0	431	997	"female"	68	60	22	22	559	-128
"128"	"A2QQY4S73JO639"	"peek"	"easy"	"dynamic"	104	0.52	-90	1130	"female"	30	NA	30	27	-42	-48
"129"	"A2QWVKYC4RSJKM"	"peek"	"hard"	"dynamic"	22	0.11	-468	758	"female"	28	62	29	23	-333	-135
"130"	"A2RB4WF5CDMEL9"	"peek"	"hard"	"stable"	103	0.515	290	1118	"female"	61	53	21	14	187	103
"131"	"A2SDZBZH6JQ4R9"	"keep"	"hard"	"dynamic"	0	0	-138	502	"male"	22	NA	NA	NA	-98	-40
"132"	"A2TJVARJ3154YE"	"keep"	"hard"	"stable"	0	0	-320	656	"male"	25	69	29	23	-156	-164
"133"	"A2TT6FAIWFD25N"	"peek"	"easy"	"stable"	17	0.085	579	992	"male"	35	75	34	25	143	436
"134"	"A2UX9SUBTBI1X6"	"keep"	"hard"	"dynamic"	0	0	-506	1086	"female"	41	80	27	34	-626	120
"135"	"A2VL4NTRZCSXK"	"peek"	"hard"	"stable"	5	0.025	529	414	"male"	28	71	21	17	515	14
"136"	"A2W5RJFHZRE8IS"	"keep"	"easy"	"stable"	0	0	173	366	"male"	23	67	27	23	74	99
"137"	"A2WZDY9R2GHRXD"	"keep"	"hard"	"dynamic"	0	0	138	995	"female"	23	69	30	27	-60	198
"138"	"A2XUADP5L61HQ5"	"peek"	"hard"	"dynamic"	11	0.055	710	659	"male"	23	36	22	5	32	678
"139"	"A2XX1VGBMDY5TD"	"keep"	"hard"	"dynamic"	0	0	-565	504	"male"	30	72	30	24	-376	-189
"140"	"A2YGEOO74PF79Y"	"peek"	"easy"	"stable"	121	0.605	72	972	"female"	19	61	34	25	43	29
"141"	"A2YNN8T8ROWHES"	"keep"	"easy"	"dynamic"	0	0	577	960	"male"	24	57	23	19	409	168
"142"	"A2ZV96GRXVSXK4"	"keep"	"easy"	"stable"	0	0	-166	750	"female"	28	65	31	21	-94	-72
"143"	"A301OC6DURSQ5W"	"peek"	"hard"	"stable"	26	0.13	313	952	"male"	31	NA	38	30	259	54
"144"	"A30QRUEU84M6EU"	"peek"	"easy"	"stable"	18	0.09	154	432	"female"	28	62	26	28	42	112
"145"	"A31A20Z5P0UJBH"	"peek"	"hard"	"stable"	28	0.14	255	719	"female"	64	51	32	29	181	74
"146"	"A324FQ64NCN2YS"	"keep"	"hard"	"stable"	0	0	-280	753	"male"	43	59	21	26	-107	-173
"147"	"A36MTY8RSWBZU7"	"peek"	"easy"	"stable"	67	0.335	347	976	"female"	54	37	21	18	166	181
"148"	"A36O6HV8LCXLJR"	"keep"	"hard"	"stable"	0	0	831	1212	"male"	64	45	24	6	333	498
"149"	"A37AJI03M37NPJ"	"keep"	"easy"	"dynamic"	0	0	6	1388	"male"	32	43	14	21	-36	42
