"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"	"first.keep.points.mean"	"n"
"25"	1	10	15	420.632544090508	2.01008458925629	3.00216853299096	0.9654	4.64527176347047	5000
"26"	1	10	20	397.877489365106	1.87905551045697	2.61788038181819	0.9842	5.02967695921483	5000
"27"	1	10	25	373.247967187575	1.73565116175236	2.35721164915955	0.99	4.98910952129827	5000
"28"	1	10	30	347.851079894874	1.67571772678917	2.18173279842209	0.9954	5.10204604738001	5000
"29"	1	10	35	320.231055549005	1.6177832560537	2.05768384576284	0.9968	4.89973217178899	5000
"30"	1	10	40	299.195578662932	1.56050100094188	1.92896394620072	0.9972	4.93317753269295	5000
"31"	1	10	45	273.628439422583	1.53790240577477	1.85727706670264	0.9992	5.03003956530173	5000
"32"	1	10	50	250.034055921717	1.50331222706993	1.78550720039491	0.9996	5.2294156608414	5000
"33"	1	10	55	226.656222061504	1.47004691069517	1.71078062290145	0.9992	5.13566277524127	5000
"34"	1	10	60	201.797926944751	1.44832101199811	1.66061994604412	0.9998	4.9190286731148	5000
"35"	1	10	65	175.270507115522	1.43335976973627	1.62061810592971	0.9996	5.28983619852758	5000
"36"	1	10	70	149.938957244108	1.41662900784385	1.55907611618653	1	5.28456799447351	5000
"37"	1	10	75	124.860272677345	1.39822272915576	1.52047656104034	1	4.91598154441847	5000
"38"	1	10	80	100.300138965689	1.37248403713656	1.47001332853105	0.9998	4.91849702381713	5000
"39"	1	10	85	75.6964398465929	1.39061860746179	1.46264316921375	1	5.02217115761824	5000
"40"	1	10	90	49.3860134658341	1.37069844011177	1.41459556717375	1	4.91324842231851	5000
"41"	1	10	95	25.1611272465322	1.39521952246423	1.42027075473917	1	4.99797998328853	5000
"42"	1	10	100	0	1.3810610290746	1.3810610290746	1	NA	5000
"43"	1	20	0	276.149032081369	8.08761328405144	NA	NA	0.193143102139263	5000
"44"	1	20	5	316.064214944966	5.90463153899097	10.243648414391	0.7112	2.2658670341206	5000
"45"	1	20	10	357.110564237523	4.38902007600612	7.18377190919863	0.7806	2.8049759167241	5000
"46"	1	20	15	370.592079298089	3.94632706736823	5.94091127364162	0.8294	3.41551768380993	5000
"47"	1	20	20	350.378967832502	3.6088237736998	5.27428884357142	0.8624	4.14374059613128	5000
"48"	1	20	25	338.693564351948	3.36237620059877	4.66667315258014	0.8834	4.06011124904586	5000
"49"	1	20	30	320.882769448736	3.25115515269035	4.36212502003598	0.8998	4.60040706645749	5000
"50"	1	20	35	295.382313982352	3.13039053589955	4.08074839214515	0.914	4.56866516861468	5000
"51"	1	20	40	281.416433928647	3.10934704593181	3.92715402233297	0.9264	4.7070390620159	5000
"52"	1	20	45	266.168916583178	2.99540331395342	3.68178298621487	0.9404	4.97560139939057	5000
"53"	1	20	50	238.509514520915	2.96986290878439	3.55294022636277	0.9462	4.77449234300253	5000
"54"	1	20	55	217.736972911071	2.92295139740546	3.42893883862608	0.9504	4.58710573289478	5000
"55"	1	20	60	188.670470957329	2.88607275848989	3.31812408423662	0.9576	5.03013001322435	5000
"56"	1	20	65	167.900888375411	2.84271788774818	3.19482916450036	0.9672	4.75563027457536	5000
"57"	1	20	70	147.599312701593	2.78044317810317	3.11271487274939	0.9658	4.9748426235857	5000
"58"	1	20	75	119.636305238672	2.78627678353689	3.01179331127361	0.9644	5.01205781778616	5000
"59"	1	20	80	98.4257160754628	2.78169792326503	2.97182560748643	0.9692	4.93760874508955	5000
"60"	1	20	85	73.3308092816295	2.78255316652385	2.92265381028782	0.9712	5.66928811173811	5000
"61"	1	20	90	48.6178728086425	2.73891856808153	2.8283486740406	0.975	5.30204362794442	5000
"62"	1	20	95	24.7358819774149	2.76712845945462	2.82451198117648	0.9806	4.81507591215555	5000
"63"	1	20	100	0	2.77731755988683	2.77731755988683	0.9796	NA	5000
"64"	1	30	0	189.178322820791	12.7416156880406	NA	NA	-0.842244649177613	5000
"65"	1	30	5	262.751885787524	8.97894468869385	15.3781320303878	0.6552	1.94799777326415	5000
"66"	1	30	10	292.150386566761	6.82610610833652	10.8525606411243	0.7056	2.61536654977675	5000
