"n.bad"	"sd"	"n.peeks"	"total.points"
"267"	3	30	80	49.2449147989871
"268"	4	30	80	33.1273262903163
"269"	1	60	80	72.4567401264055
"270"	2	60	80	51.749857181894
"271"	3	60	80	33.9596678637984
"272"	4	60	80	20.9022604041355
"273"	1	5	85	67.7286585440456
"274"	2	5	85	67.6015944606117
"275"	3	5	85	67.5794128110471
"276"	4	5	85	67.6591998667778
"277"	1	15	85	67.079986609894
"278"	2	15	85	65.9680576261424
"279"	3	15	85	61.4264256075395
"280"	4	15	85	56.4950264099803
"281"	1	30	85	60.7982322076578
"282"	2	30	85	49.3709652677255
"283"	3	30	85	38.9936350821656
"284"	4	30	85	24.5921198424123
"285"	1	60	85	53.6770755696502
"286"	2	60	85	36.6648294008024
"287"	3	60	85	29.7395321784383
"288"	4	60	85	20.5027677616522
"289"	1	5	90	44.9954196942803
"290"	2	5	90	45.3208419835049
"291"	3	5	90	44.9664482235895
"292"	4	5	90	44.985723672134
"293"	1	15	90	44.4480226595526
"294"	2	15	90	42.8448481490329
"295"	3	15	90	42.074257491871
"296"	4	15	90	38.2696436291658
"297"	1	30	90	39.9355393511627
"298"	2	30	90	33.3142128574434
"299"	3	30	90	25.6348129746003
"300"	4	30	90	18.1099741099359
"301"	1	60	90	36.3479500958247
"302"	2	60	90	26.126238978927
"303"	3	60	90	17.6600897161102
"304"	4	60	90	14.2003436966719
"305"	1	5	95	22.5648328175555
"306"	2	5	95	22.5554631940526
"307"	3	5	95	22.5156023381124
"308"	4	5	95	22.4520313339106
"309"	1	15	95	22.2973645720526
"310"	2	15	95	21.831603427292
"311"	3	15	95	20.3188629201028
"312"	4	15	95	18.9192729771647
"313"	1	30	95	20.1057744280613
"314"	2	30	95	16.7600648221448
"315"	3	30	95	12.5659943011194
"316"	4	30	95	7.89834624916578
"317"	1	60	95	17.3176339716938
"318"	2	60	95	11.2218807783952
"319"	3	60	95	10.2423609496517
"320"	4	60	95	6.24908907196242
"321"	1	5	100	0
"322"	2	5	100	0
"323"	3	5	100	0
"324"	4	5	100	0
"325"	1	15	100	0
"326"	2	15	100	0
"327"	3	15	100	0
"328"	4	15	100	0
"329"	1	30	100	0
"330"	2	30	100	0
"331"	3	30	100	0
"332"	4	30	100	0
"333"	1	60	100	0
"334"	2	60	100	0
"335"	3	60	100	0
"336"	4	60	100	0
