"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"	"first.keep.points.mean"	"n"
"30"	1	10	40	268.997054124553	1.51811988079529	1.98014380204393	0.996	4.45447771429237	1000
"31"	1	10	45	245.134272029543	1.47058639181263	1.85063562064306	1	4.240547865645	1000
"32"	1	10	50	224.883419728613	1.4716530452953	1.70642409680752	1	4.72346730192424	1000
"33"	1	10	55	198.558422183328	1.43397217682663	1.67911215196442	1	4.39987193115532	1000
"34"	1	10	60	179.81148209416	1.45851509823	1.70052348029434	1	4.91157503095865	1000
"35"	1	10	65	160.564603514143	1.41793638382971	1.60832904633164	0.999	4.32681290481563	1000
"36"	1	10	70	134.887123891196	1.40151865500052	1.54298860977677	1	4.4837055081366	1000
"37"	1	10	75	113.108260537466	1.38699249889749	1.5366394837052	1	4.24196032964901	1000
"38"	1	10	80	89.7173386817069	1.38158319668526	1.50448598835194	1	4.01267639643547	1000
"39"	1	10	85	66.9546264006148	1.34605264113006	1.43576890283121	1	4.7062165915947	1000
"40"	1	10	90	45.9857038923197	1.41576046746238	1.45254179305483	0.999	4.38214785904092	1000
"41"	1	10	95	22.9722032933736	1.35262470336612	1.38574860397093	1	4.26331498623133	1000
"42"	1	10	100	0	1.35249497090381	1.35249497090381	1	NA	1000
"43"	1	20	0	300.535755708618	4.39428994384113	NA	NA	0.824559036285881	1000
"44"	1	20	5	311.698549863323	3.95118527516039	10.5173416531306	0.678	1.81321415586288	1000
"45"	1	20	10	317.155516544375	3.69045689694487	7.34636966697852	0.774	2.79312001880387	1000
"46"	1	20	15	346.638394503581	3.41037613511024	5.86687746752104	0.839	2.91902126562799	1000
"47"	1	20	20	326.647672372943	3.30779333664317	5.19542322887081	0.861	2.14562743437016	1000
"48"	1	20	25	309.548707064766	3.12033305386783	4.47900883124708	0.892	3.15384750886513	1000
"49"	1	20	30	280.697248734709	3.09074225557021	4.39313240927742	0.908	4.35848048703849	1000
"50"	1	20	35	280.603991158772	3.08253945892052	4.15155289951995	0.919	2.92794449403564	1000
"51"	1	20	40	249.839750972197	2.97077815022733	3.93655826453665	0.911	3.9758623367335	1000
"52"	1	20	45	235.767240620626	2.97449620880842	3.79997149487156	0.923	3.46857245689162	1000
"53"	1	20	50	216.273861735443	2.87901217037414	3.4607570432561	0.947	4.54341419730456	1000
"54"	1	20	55	193.51826964176	2.79783656235656	3.37232186512516	0.967	4.59818967527888	1000
"55"	1	20	60	166.348525484225	2.87713929557609	3.29650103266072	0.95	3.97753640671806	1000
"56"	1	20	65	152.573214794073	2.78776890399564	3.13213612408035	0.96	3.57768200076944	1000
"57"	1	20	70	138.165325286545	2.80925134882848	3.13260936436301	0.971	5.20926220301543	1000
"58"	1	20	75	105.179182670122	2.69079811778476	2.88943140810852	0.971	3.79567094296298	1000
"59"	1	20	80	89.0327355964351	2.70631228294985	2.8837761583929	0.968	4.51534439319468	1000
"60"	1	20	85	68.9460208614843	2.77956714348326	2.91452568180715	0.98	4.85610892261431	1000
"61"	1	20	90	43.6385573941807	2.70013406458313	2.82180682100999	0.979	4.03597043244787	1000
"62"	1	20	95	21.9513361595127	2.71065913733059	2.77635120306111	0.977	4.66524030245214	1000
"63"	1	20	100	0	2.65988936066446	2.65988936066446	0.982	NA	1000
"64"	1	30	0	246.152909172167	6.38044400512104	NA	NA	0.348858869196336	1000
"65"	1	30	5	293.030548032767	5.96706880761064	15.6558750149567	0.67	1.70941823795576	1000
"66"	1	30	10	295.382483411937	5.42846361218227	10.6818403382103	0.712	2.12319329542619	1000
"67"	1	30	15	271.067047806445	5.52074599127547	9.31446739988414	0.712	1.83514961761221	1000
"68"	1	30	20	270.239183924806	4.92299162158076	7.84498660149145	0.769	1.94144840459941	1000
"69"	1	30	25	271.218889509299	4.70695430665867	7.00509837982	0.779	2.70892419633616	1000
"70"	1	30	30	251.78020882612	4.73076373283352	6.54432195319928	0.808	4.31286639627641	1000
"71"	1	30	35	235.337999963018	4.48654189716605	6.07643595753991	0.826	3.87717043253077	1000
"72"	1	30	40	218.057109299454	4.50022000465581	5.88202182149953	0.836	1.8619772568815	1000
"73"	1	30	45	190.132321837243	4.37197665915192	5.5549071783664	0.836	4.22725173934585	1000
"74"	1	30	50	186.848858507726	4.45340766490044	5.45586334184987	0.838	5.04608178475253	1000
"75"	1	30	55	166.62650523451	4.37447594623043	5.18557149616057	0.858	4.36495284902717	1000
"76"	1	30	60	159.057530945749	4.15555661266681	4.94496443987125	0.885	3.04493349347439	1000
"77"	1	30	65	133.310799410788	4.13550292098418	4.72758361058777	0.877	2.82951777290542	1000
"78"	1	30	70	115.631219218663	4.15073691510995	4.64399716290248	0.881	3.72445788272634	1000
"79"	1	30	75	101.519418473182	4.25297480227317	4.61597412296988	0.897	4.62488592334374	1000
"80"	1	30	80	82.9519628719405	4.19248302352677	4.4492765085765	0.905	4.49645562597045	1000
"81"	1	30	85	57.8514702164815	4.15875655789743	4.34242867704968	0.894	2.76191919339154	1000
"82"	1	30	90	41.5756387044803	4.17654100872172	4.3590366207466	0.914	4.7071280022932	1000
"83"	1	30	95	18.9597343311042	4.10309515594265	4.1997167138373	0.909	4.56293610337142	1000
"84"	1	30	100	0	4.08612098262717	4.08612098262717	0.921	NA	1000
"85"	2	5	0	431.224332198727	1.85327427197303	NA	NA	-1.39509282496725	1000
"86"	2	5	5	420.586845627146	1.55907730975064	3.25308826090454	0.928	4.09389716021796	1000
"87"	2	5	10	405.284351454607	1.33407166417102	2.22070595800966	0.987	4.25556096955945	1000
