"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1408"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	68	703.017836489606	6.54450034944286	1	88	1	0.89	10
"1429"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	69	237.876284549704	7.5230604537691	1	72	2	0.74	23
"1450"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	70	-122.225389420384	4.31937997022421	0	0	5	0.05	78
"1471"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	71	286.720028995727	5.53605589169805	1	69	1	0.7	22
"1492"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	72	278.269503782177	2.72476775863033	1	72	1	0.73	18
"1513"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	73	777.626509107302	4.32880743632441	1	84	1	0.85	15
"1534"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	74	184.594608980538	3.82612684685032	1	69	1	0.7	17
"1555"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	75	-35.4597764131509	2.22663042633406	1	17	27	0.44	77
"1576"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	76	397.236951286314	5.73823877622318	1	68	1	0.69	23
"1597"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	77	272.713467359338	2.28079935817432	1	77	1	0.78	19
"1618"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	78	-135.634556238126	1.80537917163682	1	2	6	0.08	79
"1639"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	79	139.976825606099	2.74897919694201	1	74	1	0.75	23
"1660"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	80	578.827027771236	3.66682915693204	1	77	1	0.78	19
"1681"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	81	734.2023807161	5.84130063072483	1	75	1	0.76	18
"1702"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	82	457.281519440674	2.90795652664072	1	76	1	0.77	22
"1723"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	83	-131.663445913885	8.01471708107222	0	18	11	0.29	71
"1744"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	84	47.6183450670532	5.78404688276471	1	9	7	0.16	28
"1765"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	85	359.960186099039	2.68258487080704	1	54	5	0.59	37
"1786"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	86	196.525060238188	2.09402712774192	1	62	1	0.63	21
"1807"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	87	122.608558078885	2.76112665291855	0	47	2	0.49	27
"1828"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	88	-129.452631400158	9.69434638113009	0	1	10	0.11	87
"1849"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	89	115.868652504869	3.55917147477021	1	37	3	0.4	18
"1870"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	90	581.866187276984	4.20720974633285	1	75	1	0.76	22
"1891"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	91	-318.476867103855	3.56101466160754	1	9	10	0.19	52
"1912"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	92	744.104830094489	5.88482795128285	1	77	1	0.78	7
"1933"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	93	307.040048177153	3.48735446670334	1	25	3	0.28	20
"1954"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	94	356.211852251778	6.2903885772731	1	75	1	0.76	19
"1975"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	95	247.770016013168	3.49113503076096	1	84	1	0.85	11
"1996"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	96	636.194429022702	5.07110677793425	1	73	1	0.74	24
"2017"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	97	351.350450067211	4.45120288572602	1	54	3	0.57	37
"2038"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	98	82.1971844029852	5.41946296166633	1	37	17	0.54	60
"2059"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	99	-153.107612553688	5.5990277847587	1	29	31	0.6	70
"2080"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	100	405.688648778114	7.14424906169136	1	76	1	0.77	10
"2101"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	101	-39.0921332431845	6.39937040622538	0	0	6	0.06	93
