"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"126"	100	"uniform"	"mean"	5	-5	1	1	5	6	0.130182179094089	1
"127"	0	"uniform"	"mean"	5	-5	1	1	5	7	5	1
"128"	5	"uniform"	"mean"	5	-5	1	1	5	7	1.54657894445589	1
"129"	10	"uniform"	"mean"	5	-5	1	1	5	7	2.4558243245283	1
"130"	15	"uniform"	"mean"	5	-5	1	1	5	7	2.26933933072314	1
"131"	20	"uniform"	"mean"	5	-5	1	1	5	7	1.46670891637999	1
"132"	25	"uniform"	"mean"	5	-5	1	1	5	7	0.610403857076153	1
"133"	30	"uniform"	"mean"	5	-5	1	1	5	7	0.74509705019302	1
"134"	35	"uniform"	"mean"	5	-5	1	1	5	7	1.45272749987288	1
"135"	40	"uniform"	"mean"	5	-5	1	1	5	7	1.21805880301966	1
"136"	45	"uniform"	"mean"	5	-5	1	1	5	7	0.746370643462458	1
"137"	50	"uniform"	"mean"	5	-5	1	1	5	7	1.27265228001076	1
"138"	55	"uniform"	"mean"	5	-5	1	1	5	7	0.338710051859597	1
"139"	60	"uniform"	"mean"	5	-5	1	1	5	7	0.700679862497618	1
"140"	65	"uniform"	"mean"	5	-5	1	1	5	7	0.629385760467205	1
"141"	70	"uniform"	"mean"	5	-5	1	1	5	7	1.34990592899007	1
"142"	75	"uniform"	"mean"	5	-5	1	1	5	7	1.18506120209568	1
"143"	80	"uniform"	"mean"	5	-5	1	1	5	7	1.08032089666952	1
"144"	85	"uniform"	"mean"	5	-5	1	1	5	7	1.01819601722812	1
"145"	90	"uniform"	"mean"	5	-5	1	1	5	7	0.561989047760661	1
"146"	95	"uniform"	"mean"	5	-5	1	1	5	7	0.331251181856564	1
"147"	100	"uniform"	"mean"	5	-5	1	1	5	7	1.19353228363257	1
"148"	0	"uniform"	"mean"	5	-5	1	1	5	8	5	1
"149"	5	"uniform"	"mean"	5	-5	1	1	5	8	8.43254848947689	0
"150"	10	"uniform"	"mean"	5	-5	1	1	5	8	3.86591441596984	1
"151"	15	"uniform"	"mean"	5	-5	1	1	5	8	1.77599781569378	1
"152"	20	"uniform"	"mean"	5	-5	1	1	5	8	0.55996012512336	1
"153"	25	"uniform"	"mean"	5	-5	1	1	5	8	2.80306361498194	1
"154"	30	"uniform"	"mean"	5	-5	1	1	5	8	0.43552257731609	1
"155"	35	"uniform"	"mean"	5	-5	1	1	5	8	0.527622056380268	1
"156"	40	"uniform"	"mean"	5	-5	1	1	5	8	1.16938317924511	1
"157"	45	"uniform"	"mean"	5	-5	1	1	5	8	0.0224967652106995	1
"158"	50	"uniform"	"mean"	5	-5	1	1	5	8	1.35017844319807	1
"159"	55	"uniform"	"mean"	5	-5	1	1	5	8	1.68916332766917	1
"160"	60	"uniform"	"mean"	5	-5	1	1	5	8	1.56584559514617	1
"161"	65	"uniform"	"mean"	5	-5	1	1	5	8	0.353220233204283	1
"162"	70	"uniform"	"mean"	5	-5	1	1	5	8	0.417815408568352	1
"163"	75	"uniform"	"mean"	5	-5	1	1	5	8	1.81639805441646	1
"164"	80	"uniform"	"mean"	5	-5	1	1	5	8	0.893278038383444	1
"165"	85	"uniform"	"mean"	5	-5	1	1	5	8	0.470900936230397	1
"166"	90	"uniform"	"mean"	5	-5	1	1	5	8	1.54509588364022	1
"167"	95	"uniform"	"mean"	5	-5	1	1	5	8	0.535952995263484	1
"168"	100	"uniform"	"mean"	5	-5	1	1	5	8	0.998124813650981	1
"169"	0	"uniform"	"mean"	5	-5	1	1	5	9	5	0
"170"	5	"uniform"	"mean"	5	-5	1	1	5	9	3.79293833342354	1
"171"	10	"uniform"	"mean"	5	-5	1	1	5	9	2.71685003220587	1
